job_title,company_name,job_description_length,skills_required,salary_range,job_post_age,verified_recruiter,company_website_available,job_location,fake_job
Data Entry,StartupX,982,10,13982,81,0,1,Remote,1
Blockchain Developer,Freelance,744,2,151801,8,1,0,On-site,1
Content Writer,Tesla,72,8,130591,14,1,1,Remote,1
Content Writer,Unknown LLC,179,0,7944,50,0,1,Remote,1
HR Manager,Facebook,81,7,52926,28,1,1,On-site,0
Blockchain Developer,Tesla,770,15,187335,53,0,0,Hybrid,1
Online Survey Agent,Freelance,305,0,173396,24,1,0,Hybrid,1
Blockchain Developer,Amazon,336,0,85863,77,0,0,On-site,0
Marketing Specialist,Unknown LLC,650,0,39049,9,0,0,On-site,1
Blockchain Developer,Amazon,709,1,97370,8,0,0,Hybrid,1
Software Engineer,Unknown LLC,328,7,85220,28,0,1,On-site,0
Software Engineer,Facebook,103,2,88416,6,0,0,Hybrid,1
Online Survey Agent,Tesla,289,1,145052,57,0,1,Hybrid,0
Software Engineer,Tesla,194,6,180593,72,1,1,Hybrid,0
HR Manager,Unknown LLC,297,3,118582,28,0,1,Hybrid,1
Marketing Specialist,Amazon,263,11,170019,72,1,0,On-site,0
HR Manager,Facebook,410,15,187948,6,1,0,Hybrid,1
Content Writer,Amazon,422,1,173967,39,0,0,On-site,0
Graphic Designer,Facebook,658,13,74548,28,1,0,Remote,0
Online Survey Agent,Facebook,316,10,136368,60,1,0,Remote,1
Marketing Specialist,Freelance,210,0,60689,1,1,1,On-site,0
Content Writer,Facebook,966,10,197742,57,1,0,Hybrid,0
Data Entry,Tesla,290,7,86189,22,0,1,Hybrid,1
Data Entry,Unknown LLC,833,2,37020,59,0,1,On-site,0
Blockchain Developer,Unknown LLC,171,1,153731,69,0,0,Hybrid,1
HR Manager,StartupX,491,3,140409,90,0,1,Remote,0
Data Entry,Amazon,494,2,73714,73,1,1,Hybrid,0
Software Engineer,StartupX,666,6,27730,58,1,1,On-site,0
HR Manager,Unknown LLC,745,10,95991,14,0,0,On-site,0
